"id"	"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"title"	"abstract"	"doi"
"abs17553"	"1"	"2"	""	""	""	"1"	"The Role of Mobility in the Dynamics of the COVID-19 Epidemic in Andalusia"	"Metapopulation models have been a popular tool for the study of epidemic spread over a network of highly populated nodes (cities, provinces, countries) and have been extensively used in the context of the ongoing COVID-19 pandemic. In the present work, we revisit such a model, bearing a particular case example in mind, namely that of the region of Andalusia in Spain during the period of the summer-fall of 2020 (i.e., between the first and second pandemic waves). Our aim is to consider the possibility of incorporation of mobility across the province nodes focusing on mobile-phone time-dependent data, but also discussing the comparison for our case example with a gravity model, as well as with the dynamics in the absence of mobility. Our main finding is that mobility is key toward a quantitative understanding of the emergence of the second wave of the pandemic and that the most accurate way to capture it involves dynamic (rather than static) inclusion of time-dependent mobility matrices based on cell-phone data. Alternatives bearing no mobility are unable to capture the trends revealed by the data in the context of the metapopulation model considered herein."	"10.1007/s11538-023-01152-5"
"abs09666"	"1"	""	""	""	"0"	"0"	"Structural vulnerability among patients with HIV and SARS-CoV-2 Co-infection: descriptive case series from the US Midwest"	"HIV and COVID-19 disproportionately impact marginalized populations, especially racial and ethnic minorities. This descriptive case series from an HIV clinic in the U.S. Midwest explores the sociodemographic and clinical characteristics of 37 individuals with HIV and SARS-CoV-2 co-infection. All 37 had suppressed viral loads prior to diagnosis with COVID-19, and all 37 survived. Relative to our overall HIV clinic population, over twice as many Hispanic patients, three times as many undocumented patients, and four times as many refugee patients contracted COVID-19, highlighting the structural vulnerability of these sub-populations."	"10.1080/09540121.2021.1981224"
"abs16041"	"1"	"4"	""	"0"	"1"	"1"	"Posttraumatic idioms of distress among Darfur refugees: Hozun and Majnun"	"Although psychosocial programming is seen as essential to the humanitarian response to the Darfur conflict, aid groups lack culturally-appropriate assessment instruments for monitoring and evaluation. The current study used an emic-etic integrated approach to: (i) create a culturally-appropriate measure of distress (Study 1), and (ii) test the measure in structured interviews of 848 Darfuris living in two refugee camps in Chad (Study 2). Traditional healers identified two trauma-related idioms, hozun and majnun, which shared features with but were not identical to posttraumatic stress disorder and depression. Measures of these constructs were reliable and correlated with trauma, loss, and functional impairment. Exploratory factor analysis resulted in empirical symptom clusters conceptually parallel to general Western psychiatric constructs. Findings are discussed in terms of their implications for psychosocial programming."	"10.1177/1363461511409283"
"abs07299"	"0"	""	""	""	""	"0"	"Recollection-as-method in social welfare practice: dirty work, shame and resistance"	"Purpose - The purpose of this paper is to introduce a methodology for critical welfare practice research, recollection-as-method, and to use this to demonstrate the social relations of social welfare institutions. Design/methodology/approach - The paper analyses a series of personal recollections from the author's experiences of academic life and welfare work to establish a methodology for critical welfare practice research. This uses concepts memory, dirty work, shame and complicity, and is grounded in critical feminist and critical race work, and psychosocial and socio-cultural approaches to governance. Findings - The paper establishes a methodology for critical welfare practice research by demonstrating the significance of using an ontologically driven approach to governance, to achieve a realistic and complex understanding of statutory welfare work. Research limitations/implications - Recollections are post hoc narrations, written in the present day. The ethics and robustness of this approach are deliberated in the paper. Practical implications - The focus of the paper is on statutory welfare practice that involves the assessment and regulation of homeless people. Principles and arguments developed in this paper contribute to reflective and reflexive debates across front-line social welfare practice fields in and beyond homelessness. Examples include assessment of social groups such as unemployed people, refugees and asylum seekers. Arguments also have application for criminal justice settings such as for prison work. Social implications - This foregrounds practitioner ambivalence and resistance in order to theorise the social relations of social welfare institutions. Originality/value - The recollection-as-method approach provides a methodology for critical practice research by demonstrating an alternative way to understand the realities of welfare work. It argues that understanding how resistance and complicity operate in less conscious and more structural ways is important for understanding the social relations of social welfare institutions and the role of good/bad feeling for these processes. This is important for understanding interventions required for anti-oppressive social change across the social worlds of policy-practice life."	"10.1108/QRJ-10-2016-0064"
"abs03093"	"1"	"2"	""	"0"	""	"1"	"Analysis of ancient human mitochondrial DNA from the Xiaohe cemetery: insights into prehistoric population movements in the Tarim Basin, China"	"Background: The Tarim Basin in western China, known for its amazingly well-preserved mummies, has been for thousands of years an important crossroad between the eastern and western parts of Eurasia. Despite its key position in communications and migration, and highly diverse peoples, languages and cultures, its prehistory is poorly understood. To shed light on the origin of the populations of the Tarim Basin, we analysed mitochondrial DNA polymorphisms in human skeletal remains excavated from the Xiaohe cemetery, used by the local community between 4000 and 3500 years before present, and possibly representing some of the earliest settlers. Results: Xiaohe people carried a wide variety of maternal lineages, including West Eurasian lineages H, K, U5, U7, U2e, T, R*, East Eurasian lineages B, C4, C5, D, G2a and Indian lineage M5. Conclusion: Our results indicate that the people of the Tarim Basin had a diverse maternal ancestry, with origins in Europe, central/eastern Siberia and southern/western Asia. These findings, together with information on the cultural context of the Xiaohe cemetery, can be used to test contrasting hypotheses of route of settlement into the Tarim Basin."	"10.1186/s12863-015-0237-5"
"abs17228"	"1"	""	""	""	""	"1"	"Phylogenetic Reconstructions Reveal the Circulation of a Novel Dengue Virus-1V Clade and the Persistence of a Dengue Virus-2 III Genotype in Northeast Brazil"	"Dengue fever is among the most significant public health concerns in Brazil. To date, the highest number of Dengue notifications in the Americas has been reported in Brazil, with cases accounting for a total number of 3,418,796 reported cases as of mid-December 2022. Furthermore, the northeastern region of Brazil registered the second-highest incidence of Dengue fever in 2022. Due to the alarming epidemiological scenario, in this study, we used a combination of portable whole-genome sequencing, phylodynamic, and epidemiological analyses to reveal a novel DENV-1 genotype V clade and the persistence of DENV-2 genotype III in the region. We further report the presence of non-synonymous mutations associated with non-structural domains, especially the NS2A (non-structural protein 2A), as well as describe synonymous mutations in envelope and membrane proteins, distributed differently between clades. However, the absence of clinical data at the time of collection and notification, as well as the impossibility of monitoring patients in order to observe worsening or death, restricts our possibility of correlating mutational findings with possible clinical prognoses. Together, these results reinforce the crucial role of genomic surveillance to follow the evolution of circulating DENV strains and understand their spread across the region through inter-regional importation events, likely mediated by human mobility, and also the possible impacts on public health and outbreak management."	"10.3390/v15051073"
"abs22222"	"1"	""	"2"	"0"	""	"1"	"Nighttime Lights and Population Migration: Revisiting Classic Demographic Perspectives with an Analysis of Recent European Data"	"This study examines whether the Visible Infrared Imaging Radiometer Suite (VIIRS) nighttime lights can be used to predict population migration in small areas in European Union (EU) countries. The analysis uses the most current data measured at the smallest administrative unit in 18 EU countries provided by the European Commission. The ordinary least squares regression model shows that, compared to population size and gross domestic product (GDP), lights data are another useful predictor. The predicting power of lights is similar to population but it is much stronger than GDP per capita. For most countries, regression models with lights can explain 50-90% of variances in small area migrations. The results also show that the annual VIIRS lights (2015-2016) are slightly better predictors for migration population than averaged monthly VIIRS lights (2014-2017), and their differences are more pronounced in high latitude countries. Further, analysis of quadratic models, models with interaction effects and spatial lag, shows the significant effect of lights on migration in the European region. The study concludes that VIIRS nighttime lights hold great potential for studying human migration flow, and further open the door for more widespread application of remote sensing information in studying dynamic demographic processes."	"10.3390/rs12010169"
"abs10940"	"1"	"4,5"	"1"	"0"	""	"0"	"Clandestine migration facilitation and border spectacle: criminalisation, solidarity, contestations"	"The article analyses a case of prosecution for human smuggling. Three film crew members accompanied a Syrian refugee boy from Greece to Sweden, while recording the journey in a documentary that was screened on Swedish public television in 2015. Despite widespread recognition, they were prosecuted and found guilty of human smuggling by all the levels of the Swedish judiciary. Using a variety of materials - text and visual data, observations and interviews - we follow the case as it moves across different arenas: the media, the court and in activism. The analysis is inspired by and further develops de Genova's notion of the border as spectacle. What conditions for acting and speaking structure the arenas, and how and from which positions can the border spectacle be contested? The motion across these arenas offers an opportunity to disclose the operation of the borders as a regime that controls people's mobility and solidarity in unequal ways."	"10.1080/17450101.2021.1888628"
"abs15766"	"1"	"4"	"2"	"0"	""	"0"	"Posttraumatic Growth Experiences among Tibetan Refugees: A Qualitative Investigation"	"Posttraumatic growth (PTG) is the phenomenon of positive psychological changes experienced as a result of the struggle with highly challenging life circumstances. This study is a qualitative investigation of PTG experiences among 12 Tibetan refugees residing in Dharmshala, Himachal Pradesh, India. Interpretive phenomenological analysis was used to analyze the narratives of case studies in order to explore various dimensions of PTG experienced by the participants as a result of facing various adversities in their lives. Major themes depicting posttraumatic growth experiences included positive changes in outlook toward the world and people, realization of personal strengths, and the experience of more intimate and meaningful relationships. This study indicates that the cultural worldviews provided necessary thrust and schemas for the PTG. Integrating these factors in health services may encourage positive growth outcomes among Tibetan refugees."	"10.1080/14780887.2011.616623"
"abs04861"	"1"	"2,3"	""	""	""	"1"	"Goa: Tourism, migrations, and ecosystem transformations"	"This article is based on a larger case study that investigated the role of tourist induced and other population movements in causing coastal ecosystem change in Goa, India. It focuses especially upon agro-ecosystems locally known as khazan lands, and sand dunes, and how they are transformed to accommodate the needs of tourists and tourism. The effects of different forms of tourism upon land cover and land-use change is assessed. The research findings suggest that it is not population movements alone that cause ecosystem changes, but the changes in relations between people and ecosystems. This means that in some cases land cover has not changed as much as land use, and in other cases land cover has changed dramatically. Intermediary influences upon land use and land-cover change are also legal, political, and economic factors, particularly changes in property rights."	"10.1639/0044-7447(2002)031[0295:GTMAET]2.0.CO;2"
"abs03795"	"1"	"2"	""	""	""	"1"	"Estimating management costs of protected areas: A novel approach from the Eastern Arc Mountains, Tanzania"	"Despite chronic underfunding for conservation and the recognition that funds must be invested wisely, few studies have analysed the direct costs of managing protected areas at the spatial scales needed to inform local site management. Using a questionnaire survey we collected data from protected area managers in the Eastern Arc Mountains (EAMs) of Tanzania to establish how much is currently spent on reserve management and how much is required to meet conservation objectives. We use an information theoretic approach to model spatial variation in these costs using a range of plausible, spatially explicit predictor variables, including a novel measure of anthropogenic pressure that measures the human pressure that accrues to any point in the landscape by taking into account all people in the landscape, inversely weighted by their distance to that point. Our models explain over 75% of variation in actual spend and over 40% of variation in necessary spend. Population pressure is a variable that has not been used to model protected area management costs before, yet proved to be considerably better at predicting both actual and necessary spend than other measures of anthropogenic pressure. We use our results to estimate necessary spend at a 9 km(2) resolution across the EAM and highlight those areas where the management costs of effective management are predicted to be high. This information can be used by conservation planners in the region and can be estimated for future scenarios of population growth and migration. (C) 2012 Elsevier Ltd. All rights reserved."	"10.1016/j.biocon.2012.02.023"
"abs19240"	"1"	""	"2"	"0"	""	"0"	"Two English immigrant families in Australia in the 19th century"	"Mass immigration to Australia began in the late 1830s. It was a small part of the international movement of people in the nineteenth century. The majority of emigrants to the Australian colonies in the nineteenth century were from Britain and Ireland. As in north America in the previous two centuries, they quickly overwhelmed the indigenous people and became the dominant population on the Australian continent. In the first half of the nineteenth century the British government and British private enterprise were instrumental in diverting some of the flow of emigrants from Britain and Ireland to the Australian colonies away from north America. Other factors, such as chain migration, helped once this emigration field became known. At the heart of the immigrants' quest, as it probably was for most free emigrants in the nineteenth century, was the family. I have constructed a story of the operation of two sets of extended families over several decades to provide insights into their culture and customs, to look at the contribution they made to the communities in which they lived in eastern Australia and their continuing connections to family and kin in England. At this stage in my research I make no claim that they are representative of English or British settlers in eastern Australia, but the detail of their lives helps to build a picture of the activities and values of some English immigrants and their roles in two Australian colonies. (C) 2008 Elsevier Inc. All rights reserved."	"10.1016/j.hisfam.2007.12.001"
"abs03700"	"1"	"3"	""	"0"	"1"	"1"	"MODERNIZATION OF THE AGRICULTURAL SECTOR IN THE CONTEXT OF SUSTAINABLE DEVELOPMENT IN THE REPUBLIC OF MOLDOVA"	"This paper focuses on the links between agricultural modernization and sustainable development, looking in particular at the impact of the structural changes over the rural livelihoods. In order to achieve this, there were used the following research methods such as: analysis of the economic indicators, methods of comparative analysis, assessment of the public policies' impact on the rural development. The agricultural sector in the Republic of Moldova is based on extensive farming and is insufficiently adapted to market economy conditions. There is a growing understanding in the country that the rural economy is not confined to the agricultural sector, but embraces the broad spectrum of needs of all rural people including living standards, economic activities and natural resources. The situation is associated with the major risks related to the structural changes that may affect the countryside and the economy as a whole such as: a) migration and uncontrolled urbanization, b) lack of professional qualifications and adaptability of the population in the rural areas, c) inadequate use of the natural resources. Rural economy, employment issues, natural resource management and also goals and circumstances of the agricultural production have changed considerably. At the same time, academia and civil society are aware that the new paradigm of modernization must begin both with the agricultural technologies and the people. Its novelty is that in the combination of financial, economic and technological policies for agriculture, new components to be introduced, like policies aimed at improving human capital in agriculture and environmental protection. The paper contains conclusions and proposals on modernization of agriculture and diversification of non farm activities in rural areas."	"gen.2013.58602277"
"abs08788"	"1"	"4"	""	""	"1"	"1"	"Perceived Risk of COVID-19 and Anxiety in Syrian Refugees in Turkey"	"Pandemics are amongst the most destructive disasters to have afflicted humankind through history. These disasters entail a disproportionate effect on refugee populations, who are already in a state of high vulnerability. This study aims to assess the perception of risk of COVID-19 in the refugee populations in Turkey, in addition to evaluating anxiety levels during the pandemic. The participants of this study were refugees enrolled in a local nonprofit organization in Istanbul. They were asked to complete questionnaires which asked about COVID-19 and any self-protection measures. The questionnaire also incorporated the General Anxiety Disorder-7 screening test. In this young, male and mostly unemployed population, knowing someone who experienced COVID-19 was associated with a greater likelihood of compliance with hygiene and physical distancing measures. Anxiety levels were above 29%, and the highest scores were in the age group between 25 and 55 years. We argue that comprehensive public health measures against COVID-19 should include focused interventions for refugee populations that take the extra vulnerability (health, financial, and other) into account."	"10.1080/19371918.2022.2134251"
"abs07096"	"1"	""	""	""	"1"	"1"	"The characteristics of multi-source mobility datasets and how they reveal the luxury nature of social distancing in the US during the COVID-19 pandemic"	"This study reveals the human mobility from various sources and the luxury nature of social distancing in the U.S during the COVID-19 pandemic by highlighting the disparities in mobility dynamics from lower-income and upper-income counties. We collect, process, and compute mobility data from four different sources. We further design a Responsive Index (RI) based on the time series of mobility change percentages to quantify the general degree of mobility-based responsiveness to COVID-19 at the U.S. county level. We find statistically significant positive correlations in the RI between either two data sources, revealing their general similarity, albeit with varying Pearson's r coefficients. Despite the similarity, however, mobility from each source presents unique and even contrasting characteristics, in part demonstrating the multifaceted nature of human mobility. The results suggest that counties with higher income tend to react more aggressively in terms of reducing more mobility in response to the COVID-19 pandemic. Most states present a positive difference in RI between their upper-income and lower-income counties, where diverging patterns in time series of mobility changes percentages can be found. The findings shed light on not only the characteristics of multi-source mobility data but also the mobility patterns in tandem with the economic disparity."	"10.1080/17538947.2021.1886358"
"abs06581"	"0"	""	""	""	""	"1"	"Understanding Human Mobility and Workload Dynamics Due to Different Large-Scale Events Using Mobile Phone Data"	"The analysis of mobile phone data can help carriers to improve the way they deal with unusual workloads imposed by large-scale events. This paper analyzes human mobility and the resulting dynamics in the network workload caused by three different types of large-scale events: a major soccer match, a rock concert, and a New Year's Eve celebration, which took place in a large Brazilian city. Our analysis is based on the characterization of records of mobile phone calls made around the time and place of each event. That is, human mobility and network workload are analyzed in terms of the number of mobile phone calls, their inter-arrival and inter-departure times, and their durations. We use heat maps to visually analyze the spatio-temporal dynamics of the movement patterns of the participants of the large-scale event. The results obtained can be helpful to improve the understanding of human mobility caused by large-scale events. Such results could also provide valuable insights for network managers into effective capacity management and planning strategies. We also present PrediTraf, an application built to help the cellphone carriers plan their infrastructure on large-scale events."	"10.1007/s10922-018-9454-3"
"abs02817"	"1"	"6"	"1"	"0"	"1"	"1"	"RACE, ETHNICITY, IMMIGRATION, AND LIVING CONDITIONS IN COSTA RICA"	"Using information from the 2011 census, we analyze the differential in living standards by race, ethnicity, and country of birth in Costa Rica. We identify the main factors explaining such inequalities along the distribution of a composite index of wellbeing, with counterfactual analysis based on the Blinder-Oaxaca type of decomposition. Our results show that mulattoes, indigenous people, and immigrants from Nicaragua and Panama are generally worse off than the majority of the population, although the reasons differ. While lower education levels and lower paying occupations explain much of the differential in all cases, location is particularly important for indigenous people and immigrants from Panama who live in the least developed areas of the country. We also investigate the distributive pattern of these inequalities and the remarkably distinctive situation of Costa Rican blacks."	"10.1111/roiw.12176"
"abs17279"	"1"	""	"2"	"12"	""	"1"	"Real-Time Estimation of Population Exposure to PM2.5 Using Mobile- and Station-Based Big Data"	"Extremely high fine particulate matter (PM2.5) concentration has been a topic of special concern in recent years because of its important and sensitive relation with health risks. However, many previous PM2.5 exposure assessments have practical limitations, due to the assumption that population distribution or air pollution levels are spatially stationary and temporally constant and people move within regions of generally the same air quality throughout a day or other time periods. To deal with this challenge, we propose a novel method to achieve the real-time estimation of population exposure to PM2.5 in China by integrating mobile-phone locating-request (MPL) big data and station-based PM2.5 observations. Nationwide experiments show that the proposed method can yield the estimation of population exposure to PM2.5 concentrations and cumulative inhaled PM2.5 masses with a 3-h updating frequency. Compared with the census-based method, it introduced the dynamics of population distribution into the exposure estimation, thereby providing an improved way to better assess the population exposure to PM2.5 at different temporal scales. Additionally, the proposed method and dataset can be easily extended to estimate other ambient pollutant exposures such as P1\410, 03, SO2, and NO2, and may hold potential utilities in supporting the environmental exposure assessment and related policy-driven environmental actions."	"10.3390/ijerph15040573"
"abs09317"	"1"	"6"	"2"	"0"	""	"0"	"Finding a stable core in supervision from a distance: A Kurdish-Australian case study"	"This paper's second author is a doctoral student, based in Erbil, in the Kurdistan Region of Iraq, whose study focuses on peer education in refugee camps in that region. The other three co-authors are her supervisors, whom, to date, she has not physically met. Yet, we have created and sustained a productive 'learning community' from a distance. In this paper, we provide a critical reflection on the way this supervision learning community has worked and continues to work. We analyse the elements that make this a productive partnership and team, whilst also addressing some of the challenges. We use each other's reflections to discuss the elements that contribute to effective supervision from a distance. This case study demonstrates that creating and sustaining a human-centred learning community of peers forms the crucial foundation of and for effective distance doctoral supervision that nurtures independence and agency."	"10.1080/14703297.2022.2037451"
"abs04415"	"1"	""	"0"	"0"	""	"1"	"A Comparative Analysis of Cultural Value Orientations of Indians and Migrant Indians in the USA"	"Understanding the cultural value systems of nations is a key factor in anticipating the behaviour of business managers and employees in a specific business environment. Many research studies have acknowledged the impact of culture on communication across nations and its impact on business operations, however no study has attempted to measure and quantify the cultural orientations of people originating from one nation, but working in two different national settings. This study adopted Kluckhohn and Strodtbeck's framework to examine cultural dimensions of a total of 580 Indian respondents comprising two groups: 429 Indian natives living and working in India and 151 Indian migrants living and working in the USA. It initially compares the cultural orientations of the total population of each of the two groups and then examines cultural differences in the same based on demographic characteristics consisting of occupation, gender, age, and level of education. The study found significant cultural value differences between the two groups on both levels of analysis. The theoretical and practical implications of these findings are discussed in detail."	"10.1177/1470595807088324"
"abs07237"	"1"	"4,5"	"1"	"0"	"1"	"0"	"Europe's unknown war"	"The EU's response to the global refugee crisis' has involved the returning of refugees to war zones, for example in Afghanistan, in breach of human rights conventions. But it has also been so determined to stop further asylum seekers reaching European waters or shores that it has entered into the most dubious of agreements with countries outside the EU. Using bribery (aid, promises of investment, even the prospect of membership of the EU) and blackmail (threats of withdrawal of support for educational and health programmes), the EU has inveigled and browbeaten countries around the Mediterranean and as far afield as sub-Saharan Africa, to undertake immigration controls on its behalf. This has involved the EU in agreements with repressive regimes such as Turkey, Sudan and Eritrea, designed to block the movements of millions of people in the Middle East and Africa necessitated by war, famine, climate change and religious conflict. The outsourcing of migration policy to countries run by known dictators and war criminals has come at the expense of Europe's humanitarian tradition, argues the author, who looks at the implications of policy by country and region."	"10.1177/0306396817701657"
"abs16928"	"1"	"5,6"	""	"0"	"1"	"0"	"Irregular and illegal migration through Ukraine"	"With the expansion of Europe's borders, Ukraine has entered the spotlight of attention as a source and transit country for irregular migrants. Irregular migration has risen on the international security and political agendas because it is perceived as a threat to security, and has been linked to problems such as crime and drugs. In the debate about how to manage this migration, the voices of the migrants themselves are often lost. Drawing on a review of the literature and migrants' testimonies, this paper argues that assumptions about irregular migrants in policy and position papers can be revised in light of migrants' experiences. For example, whereas officials and workers in non-governmental organizations often picture irregular migration in terms of an inexorable striving, what migrants emphasize most is the undesirable nature of their movement. And, whereas many sources view irregular migration as symptomatic of globalization and the transnational flows of people, capital, and ideas, asylum seekers who become irregular in the absence of a strong asylum system in Ukraine describe highly constrained lives that include detention and isolation. Before more efforts are directed toward combating irregular migration, migrants' descriptions of a traumatic and transformative experience of being turned into illegals, and broken can be taken into account. While there is a tendency to view the migrants as the problem, this paper suggests it is international migration regimes and not migrants that need amendment and improvement."	"10.1111/j.0020-7985.2004.00290.x"
"abs18117"	"1"	"4"	""	""	""	"0"	"INDIVIDUAL RIGHTS VS THE PUBLIC-HEALTH - THE PROBLEM OF THE ASIAN HEPATITIS-B CARRIERS IN AMERICA"	"The influx of Asians into the United States (both as refugees and immigrants) presented American public health authorities with a significant challenge: because many of them were chronic hepatitis B carriers. The carriers posed a real, but undetermined level of risk of spreading the infection to the larger community. Of especial importance was the danger that susceptible children would be infected in day-care centers, because the earlier the age of exposure, the greater the risk of developing chronic carriership; which in turn is associated with cirrhosis and cancer of the live- in later life. The Asian carriers presented both a health problem, and a moral dilemma. If the carrier situation became a subject of public debate, there was danger of a racist and discriminatory reaction to the newcomers. Faced with this problem, American public health authorities opted to protect the Asian carriers by assuring the medical profession and concerned members of the public that there was either no health risk. or the risk was easily controllable, despite the lack of evidence to support such positions In their attempt to protect a vulnerable group from discrimination, they functioned as humanitarians, but abrogated their duty as scientists and thereby undermined the long-term credibility of those charged with protecting the public health. Thus, despite achieving some immediate benefits for a defenceless group. the price they paid for that protection was too high."	"10.1016/0277-9536(93)90004-N"
"abs01729"	"1"	"0"	""	"0"	"0"	"1"	"The disparities in gastrointestinal cancer incidence among Chinese populations in Shanghai compared to Chinese immigrants and indigenous non-Hispanic white populations in Los Angeles, USA"	"Gastrointestinal cancer patterns are distinct among populations. Our study aims to compare the incidence and risk of gastrointestinal cancers between Chinese American and non-Hispanic whites in Los Angeles, CA, USA, to those of people indigenous to Shanghai to elucidate the changing patterns of gastrointestinal cancers. Cancer incidence data from 1988 to 2012 were extracted from the Cancer Incidence in Five Continents plus database. The age standardized incidence and estimated annual percentage change were calculated to estimate the temporal trends of gastrointestinal cancers. Traditional Poisson regression models and three-factor constrained Poisson regression models were applied to compare the gastrointestinal cancer risk across populations. The incidences of oesophageal, stomach, liver and gall bladder cancers were higher among indigenous Chinese residents of Shanghai than among the other two populations in Los Angeles. While the incidences of colorectal and pancreatic cancer were higher among non-Hispanic whites, Chinese American immigrants were considered to be at an intermediate level for most gastrointestinal cancers. The gender-specific gastrointestinal cancer disparities across populations, especially between Shanghai Chinese and non-Hispanic US whites, were significant regardless of age, period or cohort scale. However, the regional differences in gastrointestinal cancer rates decreased over time. Most gastrointestinal cancer patterns in Chinese American immigrants were more aligned to those of their new country of residence than to those of their original country. The disparities in gastrointestinal cancers across populations indicate that environmental factors might play a key role in cancer genesis. Shift in environmental exposures may result in significant changes in gastrointestinal cancer incidence."	"10.1002/ijc.32251"
"abs17009"	"1"	"0"	""	"0"	""	"1"	"From individual to collective behaviours: exploring population heterogeneity of human mobility based on social media data"	"This paper examines the population heterogeneity of travel behaviours from a combined perspective of individual actors and collective behaviours. We use a social media dataset of 652,945 geotagged tweets generated by 2,933 Swedish Twitter users covering an average time span of 3.6 years. No explicit geographical boundaries, such as national borders or administrative boundaries, are applied to the data. We use spatial features, such as geographical characteristics and network properties, and apply a clustering technique to reveal the heterogeneity of geotagged activity patterns. We find four distinct groups of travellers: local explorers (78.0%), local returners (14.4%), global explorers (7.3%), and global returners (0.3%). These groups exhibit distinct mobility characteristics, such as trip distance, diffusion process, percentage of domestic trips, visiting frequency of the most-visited locations, and total number of geotagged locations. Geotagged social media data are gradually being incorporated into travel behaviour studies as user-contributed data sources. While such data have many advantages, including easy access and the flexibility to capture movements across multiple scales (individual, city, country, and globe), more attention is still needed on data validation and identifying potential biases associated with these data. We validate against the data from a household travel survey and find that despite good agreement of trip distances (one-day and long-distance trips), we also find some differences in home location and the frequency of international trips, possibly due to population bias and behaviour distortion in Twitter data. Future work includes identifying and removing additional biases so that results from geotagged activity patterns may be generalised to human mobility patterns. This study explores the heterogeneity of behavioural groups and their spatial mobility including travel and day-to-day displacement. The findings of this paper could be relevant for disease prediction, transport modelling, and the broader social sciences."	"10.1140/epjds/s13688-019-0212-x"
"abs02619"	"1"	"0"	"2"	"0"	"0"	"1"	"Customizing content for rural mobile phones: a study to understand the user needs of rural India"	"Mobile phones have initiated affordable, need-based and user-centric information services in rural India. Though rural India majorly comprises illiterate, semi-literate and literate population, they have access to mobile phones and are familiar with various social media functions of these phones. This paper has explored how semi-literate and illiterate rural people use mobile phones to enhance their day-to-day activities, in spite of being severely handicapped due to low/no literacy and by limited understanding of the functions of the mobile phone. The research follows a grounded theory design. Data were collected from the unskilled, semi-skilled and skilled labour class (migratory workers), living as tenants in the village of Sikandarpur Ghosi and Sukhrali in the district of Gurgaon, Haryana, India. The paper suggests how a planned and proactive approach towards content customization should be considered by the policy makers and industry experts to optimize mobile phone use in the rural areas of India through (a) language, (b) vernacular keypads, (c) mobile content and (d) (if possible) through mobile phone design according to the rural needs. This would serve twofold purposes of increasing digital literacy and strengthening the information communication network within the village. Suggestions on funding for development of such initiatives have also been made in order to ensure that the approach be more proactive and implementable."	"10.1007/s13278-017-0432-7"
"abs04933"	"0"	""	""	""	"0"	"1"	"Religion and protective behaviours towards AIDS in rural Senegal"	"Objectives: To describe the association between religion and factors related to sexually transmitted diseases (STD)/AIDS in a country where religious leaders were involved early in prevention. Design: A cross-sectional study conducted in a rural area in central Senegal. Methods: Questionnaire-based interviews of a random sample of 858 adults from the general population aged 15-59 years and in-depth interviews of Four religious leaders and 50 people. Results: Seventy-six per cent of the respondents were Muslim, 24% Catholic, 1% Animist and 0.2% Protestant. A total of 86% of men and 87% of women reported religion to be very important to them. Important prevention-related variables were inversely associated with the importance of religion. Men who considered religion to be very important were less likely to cite AIDS as a major health problem [odds ratio (OR) 0.4, P- 0.008] and were less likely to feel at risk of getting HIV (OR 0.5, P = 0.0005). Women who considered religion to be very important were less likely to report an intention to change to protect themselves from AIDS (OR 0.2, P= 0.0001), less likely to report having discussed AIDS with others (OR 0.4, P= 0.01) and much more likely to feel at risk of getting HIV (OR 9.3, P= 10(-4)). Individuals who considered religion to be very important were not more likely to report intending to or actually having become faithful to protect themselves from AIDS. Conclusion: These findings stress the need to intensify the involvement of religious authorities in HIV/STD prevention at the local level, (C) 2000 Lippincott Williams & Wilkins."	"10.1097/00002030-200009080-00019"
"abs19598"	"1"	"3"	""	""	""	"0"	"Low knowledge of antiretroviral treatments for the prevention of HIV among precarious immigrants from sub-Saharan Africa living in the greater Paris area: Results from the Makasi project"	"IntroductionIn France, combination prevention tools, particularly antiretroviral treatment for HIV prevention has been available for several years. We described the knowledge of these antiretroviral treatments among immigrants from sub-Saharan Africa, who are particularly affected by HIV, and the factors associated with this knowledge. MethodsThe data come from the Makasi study, which was conducted between 2019 and 2020 among precarious immigrants from sub-Saharan Africa recruited through a community-based outreach approach in the greater Paris area (n = 601). We described levels of knowledge of HIV treatment effectiveness (HTE), treatment as prevention (TasP), post-exposure prophylaxis (PEP), and pre-exposure prophylaxis (PrEP), by sex with chi2 test. We investigated factors associated with their knowledge with logistic regressions adjusted for sociodemographic characteristics, living conditions and sexual behaviors (p <= 0.2). ResultsRespondents were mostly men (76%), from West Africa (61%), in precarious situation: 69% were unemployed, 74% were undocumented and 46% had no health coverage. Among this population, knowledge of HIV preventive treatments was heterogeneous. While HTE was well known (84%); TasP was known by only half of the respondents (46%), and PEP and PrEP were hardly known: 6% and 5%, respectively. Multivariate regressions models showed that these antiretroviral treatments for the prevention of HIV was better known by people with a higher level of education (PEP: aOR = 3.33 [1.09-10.20], p = 0.03; HTE: aOR = 4.33 [1.87-10.04], p<0.001), those who had a social network in France (TasP: aOR = 1.90, [1.33-2.73], p<0.001), those who had access to the health system and those who were exposed to sexual risks (TasP: aOR = 3.17, [1.03-9.69], p = 0.04; PrEP: aOR = 2.60 [0.72-9.34], p = 0.14). ConclusionsThere is a need for specific communication on antiretroviral treatment for HIV prevention that targets sub-Saharan immigrants, particularly those who have no access to the health-care system and those who are less educated."	"10.1371/journal.pone.0287288"
